athlete_id,name,gender,age,country,category,competition,year,snatch_kg,clean_and_jerk_kg,total_kg,body_weight_kg,team,coach,event_rank,medal,record_status,lifting_style,injury_history,sponsor
,?,Male,45,USA,N/A,World Championship,2025,?,-1,364.0,N/A,Cairo Strong,Li Zhang,0,N/A,World Record,Functional,Y,N/A
2,Sarah Johnson,Male,43,Russia,-55kg,Continental Cup,2024,N/A,98.1,300kg,111kg,Madrid Strength,Anna Müller,N/A,Bronze,National Record,?,Y,Under Armour
ath_2,Carlos Ruiz,F,?,Russia,-55kg,Olympics 2020,2013,154kg,-1,300kg,?,CN Barcelona,Carlos Ruiz,9,?,N/A,?,Yes,N/A
ath_3,Unknown,unknown,35,spain,+109kg,European Cup,2012,119kg,N/A,136.9,50kg,Tokyo Lift Club,Michael Johnson,0,None,National Record,?,N,Puma
ath_4,David Müller,Male,21,Brazil,-55kg,Junior Championship,9999,127kg,?,300kg,72kg,Cairo Strong,Anna Müller,?,None,N/A,CrossFit,unknown,Adidas
6,Anna Kowalska,?,?,Germany,-81kg,Tokyo 2021,2015,0,198.3,N/A,?,Cairo Strong,Anna Müller,N/A,N/A,Personal Best,Olympic,No,Nike
,John Smith,F,13,Germany,-55kg,Olympics 2020,2017,168.9,-1,257.9,62kg,Cairo Strong,Pedro López,N/A,None,Personal Best,Powerlifting,?,Rogue
,Li Wei,unknown,N/A,Germany,-67kg,Continental Cup,2021,125.3,?,382.5,N/A,Team USA,?,?,?,N/A,N/A,unknown,Adidas
ath_8,Sofia López,M,30,Unknown,-96kg,Panamerican Games,2022,0,84.4,347.3,63kg,Team USA,Li Zhang,0,Silver,Personal Best,CrossFit,?,Reebok
ath_9,David Müller,Female,45,RUS,-55kg,Tokyo 2021,2021,?,-1,N/A,102kg,London Barbell,Michael Johnson,N/A,Silver,Personal Best,Olympic,unknown,Rogue
,Sarah Johnson,M,50,Unknown,-109kg,World Championship,9999,N/A,210.1,375.6,N/A,Beijing Barbell,Anna Müller,N/A,?,N/A,Functional,No,Puma
12,Laura Gómez,M,24,Italy,-81kg,Panamerican Games,?,?,150.9,N/A,?,Team USA,Anna Müller,3,Silver,National Record,CrossFit,N,Adidas
13,David Müller,F,21,USA,-96kg,Continental Cup,2015,0,N/A,N/A,?,London Barbell,Pedro López,1,N/A,None,Functional,N,N/A
ath_13,Maria Rossi,Female,68,France,-109kg,?,2018,0,78kg,300kg,80.6,Madrid Strength,Li Zhang,?,Silver,N/A,CrossFit,unknown,Under Armour
15,N/A,F,N/A,Brazil,-109kg,Continental Cup,9999,N/A,?,?,N/A,unknown,Unknown,0,N/A,National Record,?,N,Adidas
ath_15,Laura Gómez,F,N/A,Germany,-67kg,?,2019,?,142kg,300kg,?,CN Barcelona,Carlos Ruiz,N/A,Bronze,None,CrossFit,Yes,unknown
17,John Smith,Male,N/A,Brazil,+109kg,Continental Cup,2016,118.8,82.5,N/A,N/A,Beijing Barbell,Unknown,?,None,World Record,CrossFit,?,unknown
ath_17,Maria Rossi,F,?,CHN,-67kg,European Cup,2021,?,?,300kg,81.3,Berlin Power,Michael Johnson,0,Gold,None,CrossFit,Yes,unknown
,Carlos Ruiz,Female,?,China,+109kg,National Open,2025,?,126.4,?,N/A,Beijing Barbell,Unknown,7,N/A,Personal Best,Olympic,Y,N/A
ath_19,Elena Petrova,F,39,spain,N/A,World Championship,2019,N/A,-1,?,?,Team USA,Anna Müller,12,Gold,World Record,Functional,Yes,Nike
,Carlos Ruiz,Female,35,BRA,73KG,N/A,2018,0,?,N/A,58kg,Madrid Strength,Pedro López,0,Gold,?,Olympic,?,Nike
ath_21,?,Female,N/A,China,-109kg,Junior Championship,2014,?,N/A,300kg,N/A,Team USA,Anna Müller,12,Silver,National Record,Powerlifting,?,Rogue
23,Maria Rossi,M,42,USA,-55kg,Tokyo 2021,2018,155.4,?,N/A,69kg,London Barbell,N/A,N/A,Bronze,None,Olympic,Yes,Puma
ath_23,John Smith,Male,18,RUS,-61kg,Continental Cup,2015,90.7,-1,N/A,?,Madrid Strength,Unknown,N/A,?,National Record,Functional,Yes,Under Armour
25,Unknown,M,N/A,Japan,+109kg,National Open,2020,159kg,110.9,300kg,?,Beijing Barbell,Li Zhang,15,?,?,Olympic,Y,Under Armour
ath_25,?,M,N/A,CHN,-109kg,N/A,?,N/A,N/A,199.2,124.5,CN Barcelona,Pedro López,0,Bronze,World Record,N/A,Yes,Puma
ath_26,Elena Petrova,Male,44,BRA,-61kg,Tokyo 2021,2011,145kg,123.5,N/A,132.4,Beijing Barbell,Li Zhang,N/A,Bronze,National Record,CrossFit,Yes,Rogue
28,Unknown,Female,N/A,China,N/A,Junior Championship,2020,?,-1,300kg,N/A,CN Barcelona,Unknown,N/A,Gold,National Record,?,?,Reebok
ath_28,Unknown,M,39,spain,-81kg,Tokyo 2021,2024,157kg,N/A,N/A,N/A,Roma Lifting,Anna Müller,0,Gold,N/A,CrossFit,No,N/A
30,Anna Kowalska,Male,?,Egypt,73KG,Continental Cup,2020,?,90kg,333.8,147.3,Team USA,Anna Müller,N/A,Gold,National Record,?,unknown,Adidas
31,Carlos Ruiz,F,21,China,N/A,N/A,2010,?,N/A,300kg,114.6,Beijing Barbell,Michael Johnson,17,Silver,N/A,Powerlifting,unknown,N/A
,Carlos Ruiz,unknown,52,spain,-73kg,Junior Championship,2012,159kg,-1,N/A,N/A,unknown,Unknown,2,Bronze,None,Functional,Y,Puma
33,Miguel Santos,Male,?,Russia,-109kg,World Championship,2021,N/A,?,?,N/A,Madrid Strength,Li Zhang,0,None,?,Powerlifting,Yes,N/A
,Emma Brown,Female,?,USA,-67kg,?,?,0,N/A,300kg,113.4,Team USA,Unknown,5,N/A,Personal Best,N/A,No,unknown
35,?,Female,40,Japan,-67kg,Olympics 2020,2021,?,?,300kg,59.3,Berlin Power,Unknown,0,?,National Record,Functional,Yes,Rogue
36,Maria Rossi,Male,N/A,CHN,+109kg,Continental Cup,N/A,?,124kg,?,N/A,CN Barcelona,Carlos Ruiz,N/A,Gold,World Record,?,Yes,N/A
37,N/A,Male,?,Italy,-109kg,European Cup,2022,144kg,N/A,144.8,101.9,unknown,Pedro López,0,Silver,None,Functional,Y,Rogue
ath_37,Youssef Ahmed,unknown,?,RUS,N/A,Tokyo 2021,2019,0,-1,?,?,Berlin Power,Carlos Ruiz,?,Silver,National Record,Powerlifting,Y,unknown
ath_38,Youssef Ahmed,?,19,Germany,+109kg,Continental Cup,2022,?,152kg,300kg,N/A,Roma Lifting,Unknown,N/A,?,National Record,Olympic,N,unknown
40,N/A,unknown,N/A,Spain,-109kg,Junior Championship,N/A,0,N/A,261.5,N/A,Tokyo Lift Club,Carlos Ruiz,1,N/A,?,Functional,Yes,Eleiko
ath_40,Laura Gómez,F,28,RUS,+109kg,N/A,N/A,N/A,N/A,?,143.7,Cairo Strong,Anna Müller,15,None,Personal Best,?,Yes,Rogue
,Laura Gómez,Male,30,USA,+109kg,World Championship,2020,0,N/A,300kg,?,CN Barcelona,Li Zhang,?,Bronze,National Record,?,unknown,Under Armour
43,Li Wei,M,N/A,Egypt,73KG,Continental Cup,2023,N/A,-1,300kg,N/A,Cairo Strong,Li Zhang,18,?,?,CrossFit,Yes,Nike
ath_43,Li Wei,M,?,USA,-61kg,Olympics 2020,2012,N/A,-1,N/A,?,London Barbell,Pedro López,?,Gold,Personal Best,?,Y,unknown
