athlete_id,name,gender,age,country,category,competition,year,snatch_kg,clean_and_jerk_kg,total_kg,body_weight_kg,team,coach,event_rank,medal,record_status,lifting_style,injury_history,sponsor
,,male,45.0,usa,,world championship,2025.0,84.0,145.0,364.0,90.0,cairo strong,li zhang,0.0,,world record,functional,y,
2,sarah johnson,male,43.0,russia,-55kg,continental cup,2024.0,84.0,98.1,300.0,111.0,madrid strength,anna müller,,bronze,national record,,y,under armour
ath_2,carlos ruiz,f,34.0,russia,-55kg,olympics 2020,2013.0,154.0,145.0,300.0,90.0,cn barcelona,carlos ruiz,9.0,,,,yes,
ath_3,,,35.0,spain,+109kg,european cup,2012.0,119.0,145.0,136.9,50.0,tokyo lift club,michael johnson,0.0,,national record,,n,puma
ath_4,david müller,male,21.0,brazil,-55kg,junior championship,2015.0,127.0,145.0,300.0,72.0,cairo strong,anna müller,,,,crossfit,,adidas
6,anna kowalska,,34.0,germany,-81kg,tokyo 2021,2015.0,0.0,198.3,300.0,90.0,cairo strong,anna müller,,,personal best,olympic,no,nike
,john smith,f,13.0,germany,-55kg,olympics 2020,2017.0,168.9,145.0,257.9,62.0,cairo strong,pedro lópez,,,personal best,powerlifting,,rogue
,li wei,,34.0,germany,-67kg,continental cup,2021.0,125.3,145.0,382.5,90.0,team usa,,,,,,,adidas
ath_8,sofia lópez,m,30.0,,-96kg,panamerican games,2022.0,0.0,84.4,347.3,63.0,team usa,li zhang,0.0,silver,personal best,crossfit,,reebok
ath_9,david müller,female,45.0,rus,-55kg,tokyo 2021,2021.0,84.0,145.0,300.0,102.0,london barbell,michael johnson,,silver,personal best,olympic,,rogue
,sarah johnson,m,50.0,,-109kg,world championship,2015.0,84.0,210.1,375.6,90.0,beijing barbell,anna müller,,,,functional,no,puma
12,laura gómez,m,24.0,italy,-81kg,panamerican games,2015.0,84.0,150.9,300.0,90.0,team usa,anna müller,3.0,silver,national record,crossfit,n,adidas
13,david müller,f,21.0,usa,-96kg,continental cup,2015.0,0.0,145.0,300.0,90.0,london barbell,pedro lópez,1.0,,,functional,n,
ath_13,maria rossi,female,68.0,france,-109kg,,2018.0,0.0,78.0,300.0,80.6,madrid strength,li zhang,,silver,,crossfit,,under armour
15,,f,34.0,brazil,-109kg,continental cup,2015.0,84.0,145.0,300.0,90.0,,,0.0,,national record,,n,adidas
ath_15,laura gómez,f,34.0,germany,-67kg,,2019.0,84.0,142.0,300.0,90.0,cn barcelona,carlos ruiz,,bronze,,crossfit,yes,
17,john smith,male,34.0,brazil,+109kg,continental cup,2016.0,118.8,82.5,300.0,90.0,beijing barbell,,,,world record,crossfit,,
ath_17,maria rossi,f,34.0,chn,-67kg,european cup,2021.0,84.0,145.0,300.0,81.3,berlin power,michael johnson,0.0,gold,,crossfit,yes,
,carlos ruiz,female,34.0,china,+109kg,national open,2025.0,84.0,126.4,300.0,90.0,beijing barbell,,7.0,,personal best,olympic,y,
ath_19,elena petrova,f,39.0,spain,,world championship,2019.0,84.0,145.0,300.0,90.0,team usa,anna müller,12.0,gold,world record,functional,yes,nike
,carlos ruiz,female,35.0,bra,73kg,,2018.0,0.0,145.0,300.0,58.0,madrid strength,pedro lópez,0.0,gold,,olympic,,nike
ath_21,,female,34.0,china,-109kg,junior championship,2014.0,84.0,145.0,300.0,90.0,team usa,anna müller,12.0,silver,national record,powerlifting,,rogue
23,maria rossi,m,42.0,usa,-55kg,tokyo 2021,2018.0,155.4,145.0,300.0,69.0,london barbell,,,bronze,,olympic,yes,puma
ath_23,john smith,male,18.0,rus,-61kg,continental cup,2015.0,90.7,145.0,300.0,90.0,madrid strength,,,,national record,functional,yes,under armour
25,,m,34.0,japan,+109kg,national open,2020.0,159.0,110.9,300.0,90.0,beijing barbell,li zhang,15.0,,,olympic,y,under armour
ath_25,,m,34.0,chn,-109kg,,2015.0,84.0,145.0,199.2,124.5,cn barcelona,pedro lópez,0.0,bronze,world record,,yes,puma
ath_26,elena petrova,male,44.0,bra,-61kg,tokyo 2021,2011.0,145.0,123.5,300.0,132.4,beijing barbell,li zhang,,bronze,national record,crossfit,yes,rogue
28,,female,34.0,china,,junior championship,2020.0,84.0,145.0,300.0,90.0,cn barcelona,,,gold,national record,,,reebok
ath_28,,m,39.0,spain,-81kg,tokyo 2021,2024.0,157.0,145.0,300.0,90.0,roma lifting,anna müller,0.0,gold,,crossfit,no,
30,anna kowalska,male,34.0,egypt,73kg,continental cup,2020.0,84.0,90.0,333.8,147.3,team usa,anna müller,,gold,national record,,,adidas
31,carlos ruiz,f,21.0,china,,,2010.0,84.0,145.0,300.0,114.6,beijing barbell,michael johnson,17.0,silver,,powerlifting,,
