athlete_id,name,gender,age,country,category,competition,year,snatch_kg,clean_and_jerk_kg,total_kg,body_weight_kg,team,coach,event_rank,medal,record_status,lifting_style,injury_history,sponsor
,?,Male,45,USA,,World Championship,2025,?,-1,364.0,,Cairo Strong,Li Zhang,0,,World Record,Functional,Y,
2,Sarah Johnson,Male,43,Russia,-55kg,Continental Cup,2024,,98.1,300kg,111kg,Madrid Strength,Anna Müller,,Bronze,National Record,?,Y,Under Armour
ath_2,Carlos Ruiz,F,?,Russia,-55kg,Olympics 2020,2013,154kg,-1,300kg,?,CN Barcelona,Carlos Ruiz,9,?,,?,Yes,
ath_3,Unknown,unknown,35,spain,+109kg,European Cup,2012,119kg,,136.9,50kg,Tokyo Lift Club,Michael Johnson,0,,National Record,?,N,Puma
ath_4,David Müller,Male,21,Brazil,-55kg,Junior Championship,9999,127kg,?,300kg,72kg,Cairo Strong,Anna Müller,?,,,CrossFit,unknown,Adidas
6,Anna Kowalska,?,?,Germany,-81kg,Tokyo 2021,2015,0,198.3,,?,Cairo Strong,Anna Müller,,,Personal Best,Olympic,No,Nike
,John Smith,F,13,Germany,-55kg,Olympics 2020,2017,168.9,-1,257.9,62kg,Cairo Strong,Pedro López,,,Personal Best,Powerlifting,?,Rogue
,Li Wei,unknown,,Germany,-67kg,Continental Cup,2021,125.3,?,382.5,,Team USA,?,?,?,,,unknown,Adidas
ath_8,Sofia López,M,30,Unknown,-96kg,Panamerican Games,2022,0,84.4,347.3,63kg,Team USA,Li Zhang,0,Silver,Personal Best,CrossFit,?,Reebok
ath_9,David Müller,Female,45,RUS,-55kg,Tokyo 2021,2021,?,-1,,102kg,London Barbell,Michael Johnson,,Silver,Personal Best,Olympic,unknown,Rogue
,Sarah Johnson,M,50,Unknown,-109kg,World Championship,9999,,210.1,375.6,,Beijing Barbell,Anna Müller,,?,,Functional,No,Puma
12,Laura Gómez,M,24,Italy,-81kg,Panamerican Games,?,?,150.9,,?,Team USA,Anna Müller,3,Silver,National Record,CrossFit,N,Adidas
13,David Müller,F,21,USA,-96kg,Continental Cup,2015,0,,,?,London Barbell,Pedro López,1,,,Functional,N,
